t,h,r,e,e
l,o,n,g
0,1,2,31
0,1,2,32
0,1,2,35
0,1,2,36
0,1,3,29
0,1,3,30
0,1,3,33
0,1,34,3
0,1,27,4
0,1,4,28
0,1,4,31
0,1,32,4
0,1,5,25
0,1,26,5
0,1,29,5
0,1,5,30
0,1,6,23
0,1,6,24
0,1,27,6
0,1,28,6
0,1,21,7
0,1,22,7
0,1,25,7
0,1,26,7
0,1,19,8
0,1,20,8
0,1,8,23
0,1,8,24
0,1,9,17
0,1,18,9
0,1,21,9
0,1,9,22
0,1,10,15
0,1,10,16
0,1,10,19
0,1,10,20
0,1,11,13
0,1,11,14
0,1,11,17
0,1,18,11
0,1,12,15
0,1,12,16
0,27,2,3
0,2,3,28
0,35,2,3
0,2,3,36
0,25,2,4
0,2,26,4
0,33,2,4
0,2,4,34
0,2,5,23
0,24,2,5
0,2,5,31
0,2,32,5
0,2,21,6
0,2,6,22
0,2,29,6
0,2,6,30
0,2,19,7
0,2,20,7
0,2,27,7
0,2,28,7
0,8,2,17
0,8,2,18
0,8,2,25
0,8,2,26
0,9,2,15
0,9,2,16
0,9,2,23
0,9,2,24
0,2,10,13
0,2,10,14
0,2,10,21
0,2,10,22
0,19,2,11
0,2,11,20
0,17,2,12
0,2,18,12
0,2,13,14
0,3,4,23
0,24,3,4
0,35,3,4
0,3,4,36
0,21,3,5
0,3,5,22
0,33,3,5
0,34,3,5
0,19,3,6
0,3,20,6
0,3,6,31
0,32,3,6
0,17,3,7
0,18,3,7
0,3,29,7
0,3,30,7
0,8,3,15
0,8,3,16
0,8,3,27
0,8,3,28
0,9,3,13
0,9,3,14
0,9,3,25
0,9,26,3
0,10,3,23
0,24,10,3
0,11,3,12
0,11,3,21
0,11,3,22
0,19,3,12
0,3,12,20
0,3,13,15
0,16,3,13
0,3,14,15
0,16,3,14
0,19,4,5
0,20,4,5
0,35,4,5
0,4,5,36
0,17,4,6
0,18,4,6
0,33,4,6
0,34,4,6
0,4,15,7
0,16,4,7
0,4,31,7
0,32,4,7
0,8,4,13
0,8,4,14
0,8,4,29
0,8,4,30
0,9,27,4
0,9,4,28
0,10,4,12
0,25,10,4
0,10,26,4
0,11,4,23
0,24,11,4
0,21,4,12
0,4,12,22
0,17,4,13
0,18,4,13
0,17,4,14
0,18,4,14
0,16,4,15
0,5,6,15
0,16,5,6
0,35,5,6
0,36,5,6
0,13,5,7
0,5,14,7
0,33,5,7
0,34,5,7
0,8,5,31
0,8,32,5
0,9,12,5
0,9,29,5
0,9,5,30
0,10,11,5
0,10,27,5
0,10,28,5
0,25,11,5
0,26,11,5
0,12,5,23
0,24,12,5
0,13,19,5
0,13,20,5
0,19,5,14
0,20,5,14
0,17,5,15
0,18,5,15
0,16,5,17
0,16,18,5
0,35,6,7
0,36,6,7
0,8,12,6
0,8,6,33
0,8,34,6
0,9,11,6
0,9,6,31
0,9,32,6
0,10,29,6
0,10,6,30
0,27,11,6
0,11,28,6
0,25,12,6
0,26,12,6
0,21,13,6
0,13,6,22
0,21,6,14
0,22,6,14
0,19,6,15
0,20,6,15
0,16,19,6
0,16,20,6
0,17,18,6
0,8,11,7
0,8,35,7
0,8,36,7
0,9,10,7
0,9,33,7
0,9,34,7
0,10,31,7
0,10,32,7
0,11,29,7
0,11,30,7
0,27,12,7
0,12,28,7
0,23,13,7
0,24,13,7
0,23,14,7
0,24,14,7
0,15,21,7
0,15,22,7
0,16,21,7
0,16,22,7
0,17,19,7
0,17,20,7
0,18,19,7
0,18,20,7
0,8,35,9
0,8,36,9
0,8,10,33
0,8,10,34
0,8,11,31
0,8,32,11
0,8,12,29
0,8,12,30
0,8,13,25
0,8,26,13
0,8,14,25
0,8,26,14
0,8,23,15
0,8,24,15
0,8,16,23
0,8,16,24
0,8,21,17
0,8,17,22
0,8,18,21
0,8,18,22
0,8,19,20
0,9,10,35
0,9,10,36
0,9,11,33
0,9,34,11
0,9,12,31
0,9,32,12
0,9,27,13
0,9,28,13
0,9,27,14
0,9,28,14
0,9,25,15
0,9,26,15
0,9,16,25
0,9,26,16
0,9,17,23
0,9,17,24
0,9,18,23
0,9,18,24
0,9,19,21
0,9,19,22
0,9,20,21
0,9,20,22
0,35,10,11
0,10,11,36
0,33,10,12
0,10,12,34
0,10,29,13
0,10,13,30
0,10,29,14
0,10,14,30
0,10,27,15
0,10,28,15
0,16,10,27
0,16,10,28
0,17,10,25
0,17,10,26
0,25,10,18
0,26,10,18
0,10,19,23
0,24,10,19
0,10,20,23
0,24,10,20
0,10,21,22
0,35,11,12
0,11,12,36
0,11,13,31
0,32,11,13
0,11,14,31
0,32,11,14
0,11,29,15
0,11,30,15
0,16,11,29
0,16,11,30
0,17,11,27
0,17,11,28
0,27,18,11
0,18,11,28
0,19,11,25
0,19,26,11
0,25,11,20
0,26,11,20
0,11,21,23
0,24,11,21
0,11,22,23
0,24,11,22
0,33,12,13
0,34,12,13
0,33,12,14
0,34,12,14
0,12,31,15
0,32,12,15
0,16,12,31
0,16,32,12
0,17,12,29
0,17,12,30
0,18,12,29
0,18,12,30
0,27,19,12
0,19,12,28
0,27,12,20
0,28,12,20
0,25,12,21
0,26,12,21
0,25,12,22
0,26,12,22
0,24,12,23
0,37,13,14
0,38,13,14
0,35,13,15
0,36,13,15
0,16,35,13
0,16,36,13
0,17,13,33
0,17,34,13
0,33,18,13
0,18,34,13
0,19,13,31
0,32,19,13
0,20,13,31
0,32,20,13
0,21,29,13
0,21,13,30
0,29,13,22
0,13,22,30
0,27,13,23
0,28,13,23
0,24,27,13
0,24,28,13
0,25,26,13
0,35,14,15
0,36,14,15
0,16,35,14
0,16,36,14
0,17,14,33
0,17,34,14
0,33,18,14
0,18,34,14
0,19,14,31
0,32,19,14
0,20,14,31
0,32,20,14
0,29,21,14
0,21,14,30
0,29,14,22
0,30,14,22
0,27,14,23
0,28,14,23
0,24,27,14
0,24,28,14
0,25,26,14
0,16,37,15
0,16,38,15
0,17,35,15
0,17,36,15
0,18,35,15
0,18,36,15
0,33,19,15
0,34,19,15
0,33,20,15
0,34,20,15
0,31,21,15
0,32,21,15
0,31,22,15
0,32,22,15
0,23,29,15
0,23,30,15
0,24,29,15
0,24,30,15
0,25,27,15
0,25,28,15
0,26,27,15
0,26,28,15
0,16,35,17
0,16,36,17
0,16,18,35
0,16,18,36
0,16,19,33
0,16,34,19
0,16,20,33
0,16,34,20
0,16,21,31
0,16,32,21
0,16,22,31
0,16,32,22
0,16,29,23
0,16,30,23
0,16,29,24
0,16,24,30
0,16,27,25
0,16,28,25
0,16,26,27
0,16,26,28
0,17,18,37
0,17,18,38
0,17,19,35
0,17,19,36
0,17,35,20
0,17,20,36
0,17,21,33
0,17,34,21
0,17,22,33
0,17,34,22
0,17,31,23
0,17,32,23
0,17,24,31
0,17,32,24
0,17,29,25
0,17,25,30
0,17,26,29
0,17,26,30
0,17,27,28
0,35,18,19
0,18,19,36
0,18,35,20
0,18,20,36
0,33,18,21
0,18,34,21
0,33,18,22
0,18,34,22
0,18,31,23
0,18,32,23
0,24,18,31
0,24,18,32
0,25,18,29
0,25,18,30
0,18,26,29
0,18,26,30
0,18,27,28
0,19,20,37
0,19,20,38
0,35,19,21
0,19,36,21
0,35,19,22
0,19,36,22
0,33,19,23
0,34,19,23
0,24,19,33
0,24,34,19
0,25,19,31
0,25,32,19
0,26,19,31
0,32,26,19
0,27,19,29
0,27,19,30
0,19,28,29
0,19,28,30
0,35,20,21
0,20,21,36
0,35,20,22
0,20,22,36
0,33,20,23
0,34,20,23
0,24,20,33
0,24,34,20
0,25,20,31
0,25,32,20
0,26,20,31
0,26,32,20
0,27,20,29
0,27,20,30
0,29,20,28
0,20,28,30
0,37,21,22
0,38,21,22
0,35,21,23
0,36,21,23
0,24,35,21
0,24,36,21
0,25,21,33
0,25,34,21
0,33,26,21
0,26,34,21
0,27,21,31
0,32,27,21
0,28,21,31
0,32,28,21
0,29,21,30
0,35,22,23
0,36,22,23
0,24,35,22
0,24,36,22
0,25,22,33
0,25,34,22
0,33,26,22
0,26,34,22
0,27,22,31
0,32,27,22
0,28,22,31
0,32,28,22
0,29,22,30
0,24,37,23
0,24,38,23
0,25,35,23
0,25,36,23
0,26,35,23
0,26,36,23
0,33,27,23
0,34,27,23
0,33,28,23
0,34,28,23
0,31,29,23
0,32,29,23
0,31,30,23
0,32,30,23
0,24,35,25
0,24,36,25
0,24,26,35
0,24,26,36
0,24,27,33
0,24,34,27
0,24,28,33
0,24,34,28
0,24,29,31
0,24,32,29
0,24,30,31
0,24,32,30
0,25,26,37
0,25,26,38
0,25,27,35
0,25,27,36
0,25,35,28
0,25,28,36
0,25,29,33
0,25,34,29
0,25,30,33
0,25,34,30
0,25,32,31
0,35,26,27
0,26,27,36
0,26,35,28
0,26,28,36
0,33,26,29
0,26,34,29
0,33,26,30
0,26,34,30
0,26,32,31
0,27,28,37
0,27,28,38
0,35,27,29
0,27,36,29
0,35,27,30
0,27,36,30
0,33,27,31
0,34,27,31
0,33,32,27
0,32,27,34
0,35,28,29
0,28,29,36
0,35,28,30
0,28,30,36
0,33,28,31
0,34,28,31
0,33,32,28
0,32,28,34
0,37,29,30
0,38,29,30
0,35,29,31
0,36,29,31
0,32,35,29
0,32,36,29
0,33,34,29
0,35,30,31
0,36,30,31
0,32,35,30
0,32,36,30
0,33,34,30
0,32,37,31
0,32,38,31
0,33,35,31
0,33,36,31
0,34,35,31
0,34,36,31
